,P1,P2,P1 Score,P2 Score
209,Random,NFSP,0.0208,-0.0208
210,DMC,Random,0.0886,-0.0886
211,DMC,NFSP,0.0656,-0.0656
212,NFSP,DQN,-0.101,0.101
213,DQN,DMC,0.089,-0.089
214,Random,DQN,-0.1228,0.1228
215,DMC,DQN,-0.0444,0.0444
216,NFSP,Random,0.014,-0.014
217,Rule Model,NFSP,0.0846,-0.0846
218,NFSP,DMC,-0.0322,0.0322
219,Random,Random,0.0212,-0.0212
220,NFSP,DQN,-0.107,0.107
221,DMC,DQN,-0.0602,0.0602
222,NFSP,DQN,-0.1308,0.1308
223,DMC,DQN,-0.0672,0.0672
224,Rule Model,NFSP,0.0846,-0.0846
225,NFSP,Random,0.014,-0.014
226,DMC,DQN,-0.0208,0.0208
227,Random,DQN,-0.1228,0.1228
228,DQN,DMC,0.101,-0.101
229,DMC,DMC,0.0256,-0.0256
230,NFSP,DMC,-0.0336,0.0336
231,Random,NFSP,0.0162,-0.0162
232,NFSP,Random,0.0016,-0.0016
233,DMC,Random,0.0746,-0.0746
234,DQN,NFSP,0.1222,-0.1222
235,NFSP,DQN,-0.0972,0.0972
236,Rule Model,Random,0.0842,-0.0842
237,DMC,NFSP,0.0226,-0.0226
238,Rule Model,Random,0.0842,-0.0842
239,NFSP,DQN,-0.1166,0.1166
240,DQN,DQN,0.0026,-0.0026
241,DMC,NFSP,0.056,-0.056
242,NFSP,Random,0.0028,-0.0028
243,Rule Model,NFSP,0.1064,-0.1064
244,NFSP,DMC,-0.024,0.024
245,DMC,DMC,0.0182,-0.0182
246,DQN,DMC,0.0788,-0.0788
247,DMC,NFSP,0.0662,-0.0662
248,DMC,DQN,-0.0466,0.0466
249,DQN,Rule Model,0.0316,-0.0316
250,DMC,DQN,-0.05,0.05
251,DQN,Random,0.131,-0.131
252,DQN,DQN,0.0048,-0.0048
253,DMC,DQN,-0.0536,0.0536
254,DQN,Rule Model,0.0434,-0.0434
255,NFSP,Random,0.0264,-0.0264
256,DMC,DQN,-0.0428,0.0428
257,Rule Model,Rule Model,0.002,-0.002
258,DQN,DMC,0.0784,-0.0784
259,DMC,DMC,0.0026,-0.0026
260,DMC,DMC,0.0188,-0.0188
261,NFSP,DMC,-0.0076,0.0076
262,Rule Model,NFSP,0.1206,-0.1206
263,DMC,NFSP,0.1018,-0.1018
264,Rule Model,Random,0.0842,-0.0842
265,NFSP,DQN,-0.1104,0.1104
266,NFSP,DQN,-0.1148,0.1148
267,DMC,NFSP,0.0788,-0.0788
268,NFSP,Random,-0.0082,0.0082
269,Random,DMC,-0.0456,0.0456
270,Random,NFSP,0.0128,-0.0128
271,DMC,DMC,0.0396,-0.0396
272,NFSP,DMC,-0.0326,0.0326
273,DMC,DMC,0.0268,-0.0268
274,DMC,Random,0.0646,-0.0646
275,DMC,Rule Model,-0.0332,0.0332
276,NFSP,Random,0.014,-0.014
277,DQN,DQN,-0.0246,0.0246
278,DMC,DQN,-0.0526,0.0526
279,DQN,DQN,-0.0048,0.0048
280,NFSP,Random,0.014,-0.014
